06/23/17-21:39:43.465103 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",,fe80::ba27:ebff:fe87:d481,,ff02::2,,B8:27:EB:87:D4:81,33:33:00:00:00:02,0x46,,,,,,255,0,0,16,16384,133,0,0,0
06/23/17-21:40:14.825108 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",,fe80::ba27:ebff:fe87:d481,,ff02::2,,B8:27:EB:87:D4:81,33:33:00:00:00:02,0x46,,,,,,255,0,0,16,16384,133,0,0,0
06/23/17-21:40:35.345812 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",ICMP,192.168.0.100,,172.16.0.12,,64:D1:54:06:F2:98,00:24:81:3D:89:6A,0x78,,,,,,63,192,44376,106,108544,3,3,0,0
06/23/17-21:40:36.845497 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",ICMP,192.168.0.100,,172.16.0.12,,64:D1:54:06:F2:98,00:24:81:3D:89:6A,0x78,,,,,,63,192,44500,106,108544,3,3,0,0
06/23/17-21:40:38.345910 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",ICMP,192.168.0.100,,172.16.0.12,,64:D1:54:06:F2:98,00:24:81:3D:89:6A,0x78,,,,,,63,192,44501,106,108544,3,3,0,0
06/23/17-21:40:47.718216 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",ICMP,172.16.0.10,,172.16.0.11,,00:15:58:31:7A:FB,B8:27:EB:87:D4:81,0x62,,,,,,64,0,50282,84,86016,8,0,32319,1
06/23/17-21:40:47.719310 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",ICMP,172.16.0.11,,172.16.0.10,,B8:27:EB:87:D4:81,00:15:58:31:7A:FB,0x62,,,,,,64,0,46485,84,86016,0,0,32319,1
06/23/17-21:40:48.719503 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",ICMP,172.16.0.10,,172.16.0.11,,00:15:58:31:7A:FB,B8:27:EB:87:D4:81,0x62,,,,,,64,0,50432,84,86016,8,0,32319,2
06/23/17-21:40:48.719587 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",ICMP,172.16.0.11,,172.16.0.10,,B8:27:EB:87:D4:81,00:15:58:31:7A:FB,0x62,,,,,,64,0,46551,84,86016,0,0,32319,2
06/23/17-21:40:49.720938 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",ICMP,172.16.0.10,,172.16.0.11,,00:15:58:31:7A:FB,B8:27:EB:87:D4:81,0x62,,,,,,64,0,50466,84,86016,8,0,32319,3
06/23/17-21:40:49.721025 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",ICMP,172.16.0.11,,172.16.0.10,,B8:27:EB:87:D4:81,00:15:58:31:7A:FB,0x62,,,,,,64,0,46631,84,86016,0,0,32319,3
06/23/17-21:40:50.722412 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",ICMP,172.16.0.10,,172.16.0.11,,00:15:58:31:7A:FB,B8:27:EB:87:D4:81,0x62,,,,,,64,0,50663,84,86016,8,0,32319,4
06/23/17-21:40:50.722497 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",ICMP,172.16.0.11,,172.16.0.10,,B8:27:EB:87:D4:81,00:15:58:31:7A:FB,0x62,,,,,,64,0,46717,84,86016,0,0,32319,4
06/23/17-21:40:51.723851 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",ICMP,172.16.0.10,,172.16.0.11,,00:15:58:31:7A:FB,B8:27:EB:87:D4:81,0x62,,,,,,64,0,50848,84,86016,8,0,32319,5
06/23/17-21:40:51.723934 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",ICMP,172.16.0.11,,172.16.0.10,,B8:27:EB:87:D4:81,00:15:58:31:7A:FB,0x62,,,,,,64,0,46724,84,86016,0,0,32319,5
06/23/17-21:40:52.725300 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",ICMP,172.16.0.10,,172.16.0.11,,00:15:58:31:7A:FB,B8:27:EB:87:D4:81,0x62,,,,,,64,0,50944,84,86016,8,0,32319,6
06/23/17-21:40:52.725377 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",ICMP,172.16.0.11,,172.16.0.10,,B8:27:EB:87:D4:81,00:15:58:31:7A:FB,0x62,,,,,,64,0,46756,84,86016,0,0,32319,6
06/23/17-21:40:53.726700 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",ICMP,172.16.0.10,,172.16.0.11,,00:15:58:31:7A:FB,B8:27:EB:87:D4:81,0x62,,,,,,64,0,51126,84,86016,8,0,32319,7
06/23/17-21:40:53.726759 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",ICMP,172.16.0.11,,172.16.0.10,,B8:27:EB:87:D4:81,00:15:58:31:7A:FB,0x62,,,,,,64,0,46826,84,86016,0,0,32319,7
06/23/17-21:40:54.728176 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",ICMP,172.16.0.10,,172.16.0.11,,00:15:58:31:7A:FB,B8:27:EB:87:D4:81,0x62,,,,,,64,0,51242,84,86016,8,0,32319,8
06/23/17-21:40:54.728261 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",ICMP,172.16.0.11,,172.16.0.10,,B8:27:EB:87:D4:81,00:15:58:31:7A:FB,0x62,,,,,,64,0,46911,84,86016,0,0,32319,8
06/23/17-21:40:55.729596 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",ICMP,172.16.0.10,,172.16.0.11,,00:15:58:31:7A:FB,B8:27:EB:87:D4:81,0x62,,,,,,64,0,51309,84,86016,8,0,32319,9
06/23/17-21:40:55.729683 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",ICMP,172.16.0.11,,172.16.0.10,,B8:27:EB:87:D4:81,00:15:58:31:7A:FB,0x62,,,,,,64,0,46987,84,86016,0,0,32319,9
06/23/17-21:40:56.731035 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",ICMP,172.16.0.10,,172.16.0.11,,00:15:58:31:7A:FB,B8:27:EB:87:D4:81,0x62,,,,,,64,0,51374,84,86016,8,0,32319,10
06/23/17-21:40:56.731095 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",ICMP,172.16.0.11,,172.16.0.10,,B8:27:EB:87:D4:81,00:15:58:31:7A:FB,0x62,,,,,,64,0,47036,84,86016,0,0,32319,10
06/23/17-21:40:57.732473 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",ICMP,172.16.0.10,,172.16.0.11,,00:15:58:31:7A:FB,B8:27:EB:87:D4:81,0x62,,,,,,64,0,51528,84,86016,8,0,32319,11
06/23/17-21:40:57.732566 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",ICMP,172.16.0.11,,172.16.0.10,,B8:27:EB:87:D4:81,00:15:58:31:7A:FB,0x62,,,,,,64,0,47081,84,86016,0,0,32319,11
06/23/17-21:40:58.733933 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",ICMP,172.16.0.10,,172.16.0.11,,00:15:58:31:7A:FB,B8:27:EB:87:D4:81,0x62,,,,,,64,0,51761,84,86016,8,0,32319,12
06/23/17-21:40:58.734013 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",ICMP,172.16.0.11,,172.16.0.10,,B8:27:EB:87:D4:81,00:15:58:31:7A:FB,0x62,,,,,,64,0,47134,84,86016,0,0,32319,12
06/23/17-21:40:59.735373 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",ICMP,172.16.0.10,,172.16.0.11,,00:15:58:31:7A:FB,B8:27:EB:87:D4:81,0x62,,,,,,64,0,51763,84,86016,8,0,32319,13
06/23/17-21:40:59.735458 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",ICMP,172.16.0.11,,172.16.0.10,,B8:27:EB:87:D4:81,00:15:58:31:7A:FB,0x62,,,,,,64,0,47158,84,86016,0,0,32319,13
06/23/17-21:41:00.736806 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",ICMP,172.16.0.10,,172.16.0.11,,00:15:58:31:7A:FB,B8:27:EB:87:D4:81,0x62,,,,,,64,0,51794,84,86016,8,0,32319,14
06/23/17-21:41:00.736890 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",ICMP,172.16.0.11,,172.16.0.10,,B8:27:EB:87:D4:81,00:15:58:31:7A:FB,0x62,,,,,,64,0,47162,84,86016,0,0,32319,14
06/23/17-21:41:01.738244 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",ICMP,172.16.0.10,,172.16.0.11,,00:15:58:31:7A:FB,B8:27:EB:87:D4:81,0x62,,,,,,64,0,51940,84,86016,8,0,32319,15
06/23/17-21:41:01.738343 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",ICMP,172.16.0.11,,172.16.0.10,,B8:27:EB:87:D4:81,00:15:58:31:7A:FB,0x62,,,,,,64,0,47228,84,86016,0,0,32319,15
06/23/17-21:41:22.025103 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",,fe80::ba27:ebff:fe87:d481,,ff02::2,,B8:27:EB:87:D4:81,33:33:00:00:00:02,0x46,,,,,,255,0,0,16,16384,133,0,0,0
06/23/17-21:43:24.905106 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",,fe80::ba27:ebff:fe87:d481,,ff02::2,,B8:27:EB:87:D4:81,33:33:00:00:00:02,0x46,,,,,,255,0,0,16,16384,133,0,0,0
06/23/17-21:47:30.665096 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",,fe80::ba27:ebff:fe87:d481,,ff02::2,,B8:27:EB:87:D4:81,33:33:00:00:00:02,0x46,,,,,,255,0,0,16,16384,133,0,0,0
06/23/17-21:52:36.408210 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",,fe80::215:58ff:fe31:7afb,,ff02::2,,00:15:58:31:7A:FB,33:33:00:00:00:02,0x46,,,,,,255,0,0,16,16384,133,0,0,0
06/23/17-21:55:42.185096 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",,fe80::ba27:ebff:fe87:d481,,ff02::2,,B8:27:EB:87:D4:81,33:33:00:00:00:02,0x46,,,,,,255,0,0,16,16384,133,0,0,0
06/23/17-22:01:59.095065 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",,fe80::215:58ff:fe31:7afb,,ff02::16,,00:15:58:31:7A:FB,33:33:00:00:00:16,0x5A,,,,,,1,0,256,36,36864,143,0,0,1
06/23/17-22:01:59.271094 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",,fe80::215:58ff:fe31:7afb,,ff02::16,,00:15:58:31:7A:FB,33:33:00:00:00:16,0x5A,,,,,,1,0,256,36,36864,143,0,0,1
06/23/17-22:11:24.265110 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",,fe80::ba27:ebff:fe87:d481,,ff02::2,,B8:27:EB:87:D4:81,33:33:00:00:00:02,0x46,,,,,,255,0,0,16,16384,133,0,0,0
06/23/17-22:26:26.331221 ,129,15,1,"Reset outside window",TCP,172.16.0.12,8081,189.183.164.70,52544,00:24:81:3D:89:6A,64:D1:54:06:F2:98,0x3C,***A*R**,0x104FB80F,0x8032A2C6,,0x0,128,0,25516,40,40960,,,,
06/23/17-22:26:27.128873 ,129,15,1,"Reset outside window",TCP,172.16.0.12,8081,189.183.164.70,52550,00:24:81:3D:89:6A,64:D1:54:06:F2:98,0x3C,***A*R**,0x7A014ABB,0xE90F3D6F,,0x0,128,0,25526,40,40960,,,,
06/23/17-22:26:30.542400 ,129,4,1,"TCP Timestamp is outside of PAWS window",TCP,172.16.0.12,8081,189.183.164.70,52555,00:24:81:3D:89:6A,64:D1:54:06:F2:98,0x4E,***A**S*,0x6BD7A9E5,0xE324A8F1,,0x4230,128,0,25539,64,65536,,,,
06/23/17-22:26:31.404410 ,129,15,1,"Reset outside window",TCP,172.16.0.12,8081,189.183.164.70,52561,00:24:81:3D:89:6A,64:D1:54:06:F2:98,0x3C,***A*R**,0xFC43E3A,0xFCF4A02,,0x0,128,0,25558,40,40960,,,,
06/23/17-22:26:32.181772 ,129,15,1,"Reset outside window",TCP,172.16.0.12,8081,189.183.164.70,52565,00:24:81:3D:89:6A,64:D1:54:06:F2:98,0x3C,***A*R**,0x681D764C,0xC078A05B,,0x0,128,0,25571,40,40960,,,,
06/23/17-22:26:32.983124 ,129,15,1,"Reset outside window",TCP,172.16.0.12,8081,189.183.164.70,52568,00:24:81:3D:89:6A,64:D1:54:06:F2:98,0x3C,***A*R**,0x551736F3,0xBE25FE32,,0x0,128,0,25580,40,40960,,,,
06/23/17-22:26:33.770764 ,129,15,1,"Reset outside window",TCP,172.16.0.12,8081,189.183.164.70,52570,00:24:81:3D:89:6A,64:D1:54:06:F2:98,0x3C,***A*R**,0xC59184A3,0x40E4902E,,0x0,128,0,25594,40,40960,,,,
06/23/17-22:26:34.686512 ,129,15,1,"Reset outside window",TCP,172.16.0.12,8081,189.183.164.70,52571,00:24:81:3D:89:6A,64:D1:54:06:F2:98,0x3C,***A*R**,0x2CCAD2EC,0x5A263676,,0x0,128,0,25604,40,40960,,,,
06/23/17-22:26:35.740097 ,129,15,1,"Reset outside window",TCP,172.16.0.12,8081,189.183.164.70,52573,00:24:81:3D:89:6A,64:D1:54:06:F2:98,0x3C,***A*R**,0x404ED444,0x1E1AF661,,0x0,128,0,25618,40,40960,,,,
06/23/17-22:26:36.728707 ,129,15,1,"Reset outside window",TCP,172.16.0.12,8081,189.183.164.70,52574,00:24:81:3D:89:6A,64:D1:54:06:F2:98,0x3C,***A*R**,0xB5EA1236,0x345B5320,,0x0,128,0,25628,40,40960,,,,
06/23/17-22:26:38.641634 ,129,15,1,"Reset outside window",TCP,172.16.0.12,8081,189.183.164.70,52577,00:24:81:3D:89:6A,64:D1:54:06:F2:98,0x3C,***A*R**,0xFA76676D,0xFF0F9682,,0x0,128,0,25652,40,40960,,,,
06/23/17-22:26:39.486529 ,129,15,1,"Reset outside window",TCP,172.16.0.12,8081,189.183.164.70,52578,00:24:81:3D:89:6A,64:D1:54:06:F2:98,0x3C,***A*R**,0x2CF63C55,0x95D3DD83,,0x0,128,0,25665,40,40960,,,,
06/23/17-22:26:40.638500 ,129,15,1,"Reset outside window",TCP,172.16.0.12,8081,189.183.164.70,52580,00:24:81:3D:89:6A,64:D1:54:06:F2:98,0x3C,***A*R**,0xEF669AE3,0x12BFB26C,,0x0,128,0,25677,40,40960,,,,
06/23/17-22:26:47.022640 ,129,15,1,"Reset outside window",TCP,172.16.0.12,8081,189.183.164.70,52585,00:24:81:3D:89:6A,64:D1:54:06:F2:98,0x3C,***A*R**,0x78EF9828,0xFF991AC8,,0x0,128,0,25712,40,40960,,,,
06/23/17-22:26:48.377912 ,129,15,1,"Reset outside window",TCP,172.16.0.12,8081,189.183.164.70,52588,00:24:81:3D:89:6A,64:D1:54:06:F2:98,0x3C,***A*R**,0x38F7F941,0x86210355,,0x0,128,0,25736,40,40960,,,,
06/23/17-22:42:07.465106 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",,fe80::ba27:ebff:fe87:d481,,ff02::2,,B8:27:EB:87:D4:81,33:33:00:00:00:02,0x46,,,,,,255,0,0,16,16384,133,0,0,0
06/23/17-23:38:47.145106 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",,fe80::ba27:ebff:fe87:d481,,ff02::2,,B8:27:EB:87:D4:81,33:33:00:00:00:02,0x46,,,,,,255,0,0,16,16384,133,0,0,0
06/24/17-00:38:51.625104 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",,fe80::ba27:ebff:fe87:d481,,ff02::2,,B8:27:EB:87:D4:81,33:33:00:00:00:02,0x46,,,,,,255,0,0,16,16384,133,0,0,0
06/24/17-01:44:23.785106 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",,fe80::ba27:ebff:fe87:d481,,ff02::2,,B8:27:EB:87:D4:81,33:33:00:00:00:02,0x46,,,,,,255,0,0,16,16384,133,0,0,0
06/24/17-02:44:28.265124 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",,fe80::ba27:ebff:fe87:d481,,ff02::2,,B8:27:EB:87:D4:81,33:33:00:00:00:02,0x46,,,,,,255,0,0,16,16384,133,0,0,0
06/24/17-03:44:32.745105 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",,fe80::ba27:ebff:fe87:d481,,ff02::2,,B8:27:EB:87:D4:81,33:33:00:00:00:02,0x46,,,,,,255,0,0,16,16384,133,0,0,0
06/24/17-04:44:37.225119 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",,fe80::ba27:ebff:fe87:d481,,ff02::2,,B8:27:EB:87:D4:81,33:33:00:00:00:02,0x46,,,,,,255,0,0,16,16384,133,0,0,0
06/24/17-05:44:41.705107 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",,fe80::ba27:ebff:fe87:d481,,ff02::2,,B8:27:EB:87:D4:81,33:33:00:00:00:02,0x46,,,,,,255,0,0,16,16384,133,0,0,0
06/24/17-06:44:46.185105 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",,fe80::ba27:ebff:fe87:d481,,ff02::2,,B8:27:EB:87:D4:81,33:33:00:00:00:02,0x46,,,,,,255,0,0,16,16384,133,0,0,0
06/24/17-07:50:18.345100 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",,fe80::ba27:ebff:fe87:d481,,ff02::2,,B8:27:EB:87:D4:81,33:33:00:00:00:02,0x46,,,,,,255,0,0,16,16384,133,0,0,0
06/24/17-08:44:55.145110 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",,fe80::ba27:ebff:fe87:d481,,ff02::2,,B8:27:EB:87:D4:81,33:33:00:00:00:02,0x46,,,,,,255,0,0,16,16384,133,0,0,0
06/24/17-09:50:27.305107 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",,fe80::ba27:ebff:fe87:d481,,ff02::2,,B8:27:EB:87:D4:81,33:33:00:00:00:02,0x46,,,,,,255,0,0,16,16384,133,0,0,0
06/24/17-10:50:31.785114 ,1,10000001,1,"* * * * * GAK 2 ICMP TEST * * * * *",,fe80::ba27:ebff:fe87:d481,,ff02::2,,B8:27:EB:87:D4:81,33:33:00:00:00:02,0x46,,,,,,255,0,0,16,16384,133,0,0,0
